Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,2.939093E-06,1010.80,0,85.64, -,8.654221
0.05,5.471327,1010.60,5.190476,85.64, -,8.654221
0.10,13.67912,1010.30,13,85.64, -,8.654221
0.15,21.88889,1010.00,20.80952,85.64, -,8.654221
0.20,30.10064,1009.70,28.61905,85.64, -,8.654221
0.25,41.05382,1009.30,39.04762,85.64, -,8.654221
0.30,49.27017,1009.00,46.85714,85.64, -,8.654221
0.35,54.7494,1008.80,52.09524,85.64, -,8.654221
0.40,68.45048,1008.30,65.14286,85.64, -,8.654221
0.45,76.67343,1008.00,72.95238,85.64, -,8.654221
0.50,87.64157,1007.60,83.38095,85.64, -,8.654221
0.55,95.86916,1007.30,91.2381,85.82, -,8.654221
0.60,112.3303,1006.70,106.9048,85.82, -,8.654221
0.65,120.5638,1006.40,114.7619,85.82, -,8.654221
0.70,131.5461,1006.00,125.2381,85.82, -,8.654221
0.75,139.7842,1005.70,133.0952,85.82, -,8.654221
0.80,159.0155,1005.00,151.4286,85.82, -,8.654221
0.85,170.0102,1004.60,161.9048,85.82, -,8.654221
0.90,183.7576,1004.10,175,85.82, -,8.654221
0.95,192.0084,1003.80,182.8571,85.82, -,8.654221
1.00,208.516,1003.20,198.5714,85.82, -,8.654221
1.05,222.279,1002.70,211.6667,85.82, -,8.654221
1.10,236.0475,1002.20,219.5714,85.82, -,8.654221
1.15,249.8217,1001.70,224.8571,85.82, -,8.654221
1.20,269.1151,1001.00,235.4286,85.82, -,8.654221
1.25,288.4195,1000.30,246,85.82, -,8.654221
1.30,307.7348,999.60,253.9524,85.82, -,8.654221
1.35,321.5379,999.10,259.2857,85.82, -,8.654221
1.40,340.8703,998.40,272.4762,85.82, -,8.654221
1.45,360.2154,997.70,277.8571,85.82, -,8.654221
1.50,382.3369,996.90,291.0952,85.82, -,8.654221
1.55,398.9386,996.30,296.4762,85.82, -,8.654221
1.60,418.3167,995.60,307.0952,85.82, -,8.654221
1.65,434.9343,995.00,307.2381,85.82, -,8.654221
1.70,448.7891,994.50,312.5714,85.82, -,8.654221
1.75,465.4216,993.90,317.9524,85.82, -,8.654221
1.80,482.064,993.30,325.9524,85.82, -,8.654221
1.85,501.4895,992.60,326.1429,85.82, -,8.654221
1.90,515.3714,992.10,328.9048,85.82, -,8.654221
1.95,529.259,991.60,329.0476,85.82, -,8.654221
2.00,543.1522,991.10,334.4286,85.82, -,8.654221
2.05,557.0511,990.60,331.9524,85.82, -,8.654221
2.10,573.7366,990.00,334.7619,85.82, -,8.654221
2.15,584.866,989.60,332.2857,85.82, -,8.654221
2.20,595.9973,989.20,329.8095,85.82, -,8.654221
2.25,607.134,988.80,322.0476,85.82, -,8.654221
2.30,615.488,988.50,311.619,85.82, -,8.654221
2.35,626.631,988.10,303.8571,85.82, -,8.654221
2.40,634.9899,987.80,298.6667,85.82, -,8.654221
2.45,643.3508,987.50,288.1905,85.82, -,8.654221
2.50,654.5029,987.10,280.381,85.82, -,8.654221
2.55,662.8687,986.80,267.2857,85.82, -,8.654221
2.60,674.0255,986.40,262.0952,85.82, -,8.654221
2.65,682.3977,986.10,251.5714,85.82, -,8.654221
2.70,690.7703,985.80,243.7143,85.82, -,8.654221
2.75,701.9363,985.40,241.1429,85.82, -,8.654221
2.80,713.1077,985.00,235.9048,85.82, -,8.654221
2.85,724.2828,984.60,230.7143,85.82, -,8.654221
2.90,735.4599,984.20,222.8571,85.82, -,8.654221
2.95,743.8456,983.90,217.619,85.82, -,8.654221
3.00,755.0308,983.50,215.0476,85.82, -,8.654221
3.05,766.2197,983.10,212.4762,85.82, -,8.654221
3.10,774.6129,982.80,207.2381,85.82, -,8.654221
3.15,785.8066,982.40,202,85.82, -,8.654221
3.20,797.0056,982.00,202.0476,85.82, -,8.654221
3.25,808.2084,981.60,202.0952,85.82, -,8.654221
3.30,819.4131,981.20,202.1429,85.82, -,8.654221
3.35,830.6232,980.80,204.8571,85.82, -,8.654221
3.40,844.6403,980.30,207.5714,85.82, -,8.654221
3.45,853.0529,980.00,207.619,85.82, -,8.654221
3.50,864.2742,979.60,210.3333,85.82, -,8.654221
3.55,875.4974,979.20,210.381,85.82, -,8.654221
3.60,886.7261,978.80,213.1429,85.82, -,8.654221
3.65,895.1492,978.50,210.5238,85.82, -,8.654221
3.70,906.3843,978.10,213.2857,85.82, -,8.654221
3.75,917.6215,977.70,216.0476,85.82, -,8.654221
3.80,928.8641,977.30,216.1429,85.82, -,8.654221
3.85,940.1088,976.90,216.2381,85.82, -,8.654221
3.90,951.3589,976.50,216.2857,85.82, -,8.654221
3.95,962.6127,976.10,216.3333,85.82, -,8.654221
4.00,973.8685,975.70,219.0476,85.82, -,8.654221
4.05,982.3133,975.40,216.4286,85.82, -,8.654221
4.10,993.5774,975.00,216.4762,85.82, -,8.654221
4.15,1004.845,974.60,219.1905,85.82, -,8.654221
4.20,1016.115,974.20,219.2381,85.82, -,8.654221
4.25,1027.39,973.80,219.3333,85.82, -,8.654221
4.30,1035.849,973.50,216.7143,85.82, -,8.654221
4.35,1047.13,973.10,216.8095,85.82, -,8.654221
4.40,1061.237,972.60,219.5714,85.82, -,8.654221
4.45,1069.704,972.30,214.2857,85.82, -,8.654221
4.50,1080.995,971.90,217.0476,85.82, -,8.654221
4.55,1092.292,971.50,217.1429,85.82, -,8.654221
4.60,1103.593,971.10,217.2381,85.82, -,8.654221
4.65,1114.896,970.70,217.2857,85.82, -,8.654221
4.70,1126.204,970.30,220.0476,85.82, -,8.654221
4.75,1137.514,969.90,220.0952,85.82, -,8.654221
